text,dim_labels,sentiment_labels,risk_label,text_length
口味很不错，最喜欢石锅凤爪和清蒸多宝鱼，江西菜和粤菜做得挺好~味道上兼顾了嗜辣和拒辣的人群，请客点菜的时候挺方便。不过这个服务就有点坑人啊，服务员说的包间的最低消费和实际规定不一样！这不就是欺骗嘛~！,0,"1,1,1,1,1,1,1,1",2,100
菜很普通，有点咸，边吃边止不住地喝饮料。上来一个羊排还臭了，就直接退掉了。生意一般般不是我喜欢的那种清淡类型，量倒是还行。,1,"1,0,1,1,1,1,1,1",3,61
这个真的不怎么样，记得以前还好，昨天买的简直是难吃！ 米像没熟的那样，一粒粒，硬硬的！再也不会去买了！ 三文鱼的也不新鲜~闻着有股味道，扔掉了~,"0,1","0,1,1,1,1,1,1,1",2,72
我们现在称之为社区食堂， 一到饭点那个排队景象是蔚为壮观， 有着可与洋快餐媲美的硬件环境--明亮洁净， 最喜欢的是麻婆豆腐1元，烂糊肉丝4元，凉拌金针菇豆牙1元。。。 菜的口味比较大众，随便吃吃家常菜也是挺好， 缺点是，8元的整鱼总是差强人意，要不就是海鱼过腥，要不就是鲫鱼不新鲜。。 6元--8元的红烧菜也会一般，要不就像剩菜要不就是酱油和盐过了头很咸， 6元的鸡汤也不好，明显的味精味，不值。。 总之，开在小区作为家庭食堂，确实方便与民众， 支持中式快餐，希望类似的快餐会在祖国各处遍地开花， 不要再MC、KFC一统天下。。。,"0,1,4,5","0,0,1,1,1,0,1,1",2,265
碰上一群新疆学生聚会，开着喇叭跳舞，非常吵。吃的东西浓重的新疆味，可能就是所谓的正宗吧，酸奶太酸了，勉强喝下去，西红柿拌面就是西红柿炒鸡蛋倒面条上，手抓饭就是烤肉串上的肉剥下来倒在炒米饭上，羊肉腥味非常重。不是很精致,"0,1,2","1,0,0,1,1,1,1,1",1,108
点了条芒果做的炸的鱼，炸的太过了，苦苦的。泰式海鲜煲酸酸的味道还行，就是里面的菠萝不好，不新鲜。咖喱鸡不功不过，鸡肉太老。虾肠是点的最失败的东西了= =又贵又没特色。三星炒米粉还不错。只能说这是一家比较靠谱的店，因为做的不会太难吃，但也不至于让你流连忘返。,"0,1","0,0,1,1,1,1,1,1",2,128
简直是一塌糊涂来形容，，点菜的地方尤其是素菜那里，苍蝇小虫子直飞，，那个菜都是几百年的老产品，不知道老板这个厨师从哪请来的。看来是用心良苦啊，等我们点好菜到包间，竟然没有人带我们去。我们自己一行六个人自己摸着去的。后来问他们领导说是迎宾的那天正好辞职都跑了。你说还笑话。早知道就不要开了。曾经多么辉煌啊?可惜啊，，，，，，，，？？？？？？？？？？,7,"1,1,1,1,1,1,1,0",3,173
意面的味道不错，吃了还会回味~水果茶蛮好喝，只是后面越来越淡......要了个泰国烤鸡肉色拉，都是生菜，而且不新鲜，这样的东西量当然分量大了，一大盆没食欲啊....服务员感觉很懒散，哎要杯水都要半天......,"0,1,5","1,1,1,1,1,1,1,1",0,105
看到电视里面介绍俺家的鱼能吃羊，哈哈 就是烤鱼里面再烧羊肉片，这个蛮清淡的，但是我记得用的鱼是鲈鱼，似乎有点腥不新鲜，番茄味道的，不错！！还点了羊排也不错，不是很擅，还点了个羊肉烩面面条很精到不错，而且我们打了优惠券送的上上签，这个不好吃，毛肚有味道！,"0,1","0,0,1,1,1,1,1,1",1,126
老公生日免单的优惠去吃的，自助餐区食物少的可怜，生鱼片的料汁味道比较重，海鲜不新鲜，螃蟹没法吃。烧烤要单点，龙虾限量一人一只。人很少，特别安静，但并没有觉得环境能有多好，要不是生日想找个地方吃饭，绝对不会想到这里，再也不去了。,"1,2","1,0,1,1,1,1,1,1",1,113
吃的是自助餐。 种类还是比较多的。但是实话实说。。。我们点的几道菜没几道算得上美食的。。。 特别有一道炖蛋加鱼子？难吃啊。。。可能是不太符合我的口味。。。 牛舌蛮不错的~菲力牛排很嫩~ 别的么仁者见仁了。。。 吃好回家拉肚子 百度上搜了一下好像是食物中毒- =蛋疼 不知道是不是不适合吃生的。。。 吃饭的时候服务员老是兜来兜去有点不舒服 可以设一个服务铃嘛,"0,2,7","0,1,1,1,1,1,1,0",3,178
难吃，个小，跟上海吃到的没的比，价钱该贵，那么小一个，底脆的很奇怪，为了脆而脆，也没什么汤汁，那么小一个皮还能这么厚，真绝。点的口水鸡也不新鲜，绝对不会再去了。,"0,1","0,1,1,1,1,1,1,1",2,80
最爱吃的就是三黄鸡了。 小绍兴、振鼎鸡、农田鸡。 以前振鼎鸡里的鸡粥很好吃的，一大碗，只要5角。 现在很久没吃了，估计变质了不少。 怀念当初吃着白斩鸡喝鸡粥的日子啊~,"0,1","1,0,1,1,1,1,1,1",3,83
难得奢侈一下??有购物券 不用过期了??咳在上海都不吃DQ??跑到泰国吃 毕竟泰国比上海便宜一半??只能说难得奢侈一下??少吃 热量高 烦恼啊,"1,5","1,0,1,1,1,1,1,1",1,71
其实在东北，吃肥牛肥羊火锅很常见，随便街边一家肥牛火锅城味道都不比这家查差，味道只能算是一般了，还好肉和菜都很新鲜，连锁店就是这样，人潮涌动，不会有滞留的不新鲜食物。但是用餐环境就不能太过计较了。,1,"1,0,1,1,1,1,1,1",1,98
上次去一朋友那，朋友请我去吃饭。离这家店挺进的就直接过去了。里面的环境很压抑，菜也感觉不新鲜。今天看到他的店，忍不住要投诉下！,1,"1,1,1,1,1,1,1,1",0,63
这家店就在我家小区旁边，方便得很，所以经常去光顾。我常点的是烤羊肉串还有牛蛙锅和羊蝎子锅。 但是很奇怪的是，我每次吃了牛蛙锅都会有一点拉肚子。。。个人觉得可能是肠胃对那里面的辣还不是特别适应的关系。倒并不是因为那个不卫生。,7,"1,1,1,1,1,1,1,0",3,111
我是看了点评网才慕名去的 结果太失望了??环境差 感觉店好烂了 坐下来点了餐后发现竟然有蟑螂 而且不只一只 ==！ 一个餐饮店连基本的卫生都这样 真让人倒味口 炒面一上来 我就无语了 一团团的都粘在一起了 看起白惨惨的 就让人没食欲 朋友点的盖浇饭又太咸??炒的西兰花洗都没洗 上面都是小虫 让人怎么吃嘛 太太恶心太太失望,"0,2,7","0,1,0,1,1,1,1,0",3,161
自选调料是要收费的，5块钱一位。如果是点冬荫功锅底的朋友就没有花这个五块钱的必要了。这是我个人认为的。 这个店的环境还是很好滴，是大厦楼上曾志伟大哥的那个火锅店的风格。因为是新开的，人不是很多。七点多去的，餐厅只有连我们在内的两桌人。哈哈，我喜欢！！所谓的泰式么也就是冬荫功锅底和调料台上几个东南亚口味的东东。 懒得动脑筋，就点了个套餐，没有选98的，选了个138的，它有个很好听的名字，不过我不记得了。两个人吃得很饱还没有吃完，估计三个女生就正好。好喜欢里面的鲈鱼片和粉条！金针菇也挺多的。 饮料点了茅根甘蔗水，38一扎。里面还放了马蹄，味道还不错。下回想来试试酸梅汤，价格一样。 至此，我还是很满意的，定了后天的位子，和姐妹们一起来。但是下面发生的就让我有点不乐意了。 过了9点，服务员一会儿来让我们填个意见表，再过一会儿来问我们要不要添点调料了，因为他们要撤调料台了。再过了一会儿就来叫我们买单，说是管收钱的人要走了。没过几分钟他们居然把我们的灯关了（或者他们的灯坏了）。终于吃不下去了，我走人了。发现八佰伴的电梯也停了，只能坐那个直上直下的电梯到负一楼停车场，再步行出去。,"0,1","1,0,1,1,1,1,1,1",1,490
上次带宝贝猫咪来看病 正好看到隔壁有这么一家店 只是当时没心情吃啊 今天晚饭就是这里解决的 牛肉泡馍还是可以的 只是凉皮十分十分的难吃 下次想试试看盖浇饭,0,"0,1,1,1,1,1,1,1",2,77
家人送的票，灯光舞美都还不错 在里面看过阿星的节目，摇的拍子都坏了不少，节目设置比较囧，比较适合中年消费群体吧 一晃4~5年过去了,"0,1","1,0,1,1,1,1,1,1",1,65
团购区的，说是有那么多菜，团购的就极少，西兰花一共才3个，根本不像团购说的那么好，地方也小，点了几个菜结果服务员忘记了，最后上的豆腐皮还给坏了，让服务员尝特也说坏了，但是坚持说是新鲜的，态度极差，不会再去,1,"1,1,1,1,1,1,1,1",0,102
要的两会套餐，环境不是很好，人嘈杂，一点也不舒服，停车那叫一个麻烦，几乎让人麻烦的流眼泪， 品种还行吧，菜还算精致，鱼生很新鲜的感觉，海参汤还不错，鲍鱼差了些，木瓜炖燕窝还挺好吃的，要是人不是那么多，我还能接受 有种星座花草茶很有意思，我搞了两杯，就是冲不太开，长腿螃蟹不新鲜，而且很咸。 我觉得两个人520块钱的话，其实去别的地方可以吃的很舒服， 因为对环境的不能忍，估计以后不会去了！ 吃了哈根达斯薄荷味的，太让人惊艳了 海鲜一般吧,"0,1,2","1,0,1,1,1,1,1,1",1,218
找中午吃饭的地方，看到这家环境好就进去了，很多人是借地方消磨时光，但是服务和口味实在不敢恭维，点了2份主食每份等了半小时，加起来等了1个小时，毫不夸张！1个小时中把沙拉吃的干干净净，结果上课迟到咯。意面的味道实在很差，连番茄酱都舍不得放很多，饭也不行，晚上拉肚子，不知道是否有关,"2,6,7","1,1,1,1,1,1,1,0",3,139
名过其实了，这么多人说它好。 其实本来也就是一家做的好不错的本地菜馆，但是这么多人说它好，是不是把它宠坏了？ 昨天是第三次去了。第一次觉得好吃，第二次觉得就没那么灵了，第三次就是失望。姜米活鱼炒饭不咋的，芥菜老的要命。 服务么，这家店尽管收你10%的服务费，感觉服务水平和大陆的国营老字号差不多，时不时给人脸色。 价格相比于菜品和环境贵了；性价比不咋的。,"0,1","1,1,1,1,1,1,1,1",0,177
一直觉得肉燕很神奇呀，跟小馄饨一样，但皮子是用肉做的，同利的肉燕很好吃，真想买了带回家，可惜路上时间太长，怕坏了。,"0,1","1,0,1,1,1,1,1,1",1,57
肚子疼得厉害没什么味口 突然想起有一次肚子疼吃了过桥米线就不疼了 所以今天我又来了 人气很旺 随便吃吃还是可以的 但是小心点 别让锅把手给烫伤了 我今天就被烫了,7,"1,1,1,1,1,1,1,0",3,80
原本是想去东莱海上的，因为要等位子的关系，某人又开始不耐烦了，无奈转战别地，可是这个地，这个点能找得到不排队的地方还真是少呀，刚好看到这家比较的空就进去了，虽说是百年老店，可是因为藏得深的关系，人量还是比较的少，两个人点了两个菜一碗面，上菜速度很快，而且菜的味道也要比我想象中的要很多，最爱他家的草头圈子了，大肠的味道绝对是典型的上海菜的味道，搭配着撒过白酒的草头，就算再来一份我都能把它干光。而38元的红烧羊肉煲就有点虚了，一大份的菜里面有三分子二是粉丝，搭着几块小小的羊肉，不给力呀不给力，另外叫得二鲜面还是不错的，面比较的筋斗，汤的味道也不错，总得来说这家的菜还是不错的。但感觉这家餐厅味精放得可能有点小多，吃完了觉得口渴的慌，还有那天吃完我有拉肚子，可是另外那位没有事，所以也说不清楚是自己的问题还是店的问题了。,"0,4,7","1,1,1,1,1,1,1,0",3,360
我是冲着旺池煎包去的，其实是猪肉，不是怎么好吃。担担面味道不错，但是实在是太少，如果你点一碗的话。而且上次去吃感觉吃的东西又少又不新鲜。,"0,1","1,0,1,1,1,1,1,1",1,68
店里空调巨不给力。。只好放弃吃面。。 肉夹馍凉皮套餐+酸梅汤。。。 肉夹馍的饼不给力，肉太少 凉皮有股馊味。。而且都是断成一截一截的……很无语 吃完后果断拉肚子了。。。,"1,7","1,0,1,1,1,1,1,0",3,84
新开的，点了乌冬火锅...第二天拉肚子了- - 里面东西蛮多的，味道真的一般 东西很贵啊....土豆色拉貌似和罗森的味道很像 地方也很小真的不怎么样啊.......,7,"1,1,1,1,1,1,1,0",3,82
看了点评去的，说实话，让人很失望，菜的口味一般，点了四个菜，禅石豆腐没入味，芦荟什么鱼（不记得了）不新鲜，有点臭，石钵牛蛙和口水鸡味道还可以，就是份量太少了，而且上菜超级慢，结帐也慢。,"0,1,4","1,0,1,1,0,1,1,1",1,92
服务生还是不错，收盘很勤快。东西的味道一般般，品种也就这么回事。主要是冲着环境去的，卫生不行，取食物的时候，看到苍蝇在生食区飞舞，蚊子叮在棉花糖上。叫他们煮一份海鲜汤，要酸辣味的，结果弄得不酸也不辣。唉……更烦人的是买单的时候被告知4人能用一张优惠，人多的话要分开结算，真的很麻烦。那个大堂经理就等着我们当场下载优惠券！可是我当初明明看到他们自己的广告单上说连天阁的自助餐根本连优惠券也可以不用的。还好都是熟人，要不然糗大了！,"0,4,7","1,1,1,1,1,1,1,0",3,213
蛋糕的品种还不少，最近月饼上市了也有月饼卖。味道么就像楼下几位说的，重糖重油重口味，开始吃的时候感觉好满足，但是越吃越腻，到最后吃恶心了，几个礼拜都要绕着走。 蛋糕的价格不便宜，乳酪蛋糕一小块就要6块钱了，相比面包的价格又有点太便宜了，很大一个才3，4块 环境不太好，营业员阿姨会威武地挥着苍蝇拍随时将不良分子就地正法,"5,7","1,1,1,1,1,0,1,0",3,159
感觉味道比刚开始的时候强多了，红汤感觉不新鲜，服务员的态度让人很无语，结账时能不能不用一张苦瓜脸甩给客人？其它都还好。,1,"1,1,1,1,1,1,1,1",0,59
这次我决定不话痨了。我只说几句话。价格越来越贵，人越来越多，服务的小姑娘们显然没当过麻麻，面对众多吵闹喧天的孩子厌恶多过亲切（当然这孩子也真的够多的）。。。对家长也没个好声好气的。要是遇到你的卡过期了一天，哈！恭喜你！被她赚到了，怎么也不可能通融的。不过倒是够辛苦，老要拿个抹布擦来擦去的。最近又添了点新设备，孩子挺喜欢去玩的。话说只要能玩，孩子啥不喜欢啊。哎，小时候幸福真简单。长大后简单真幸福。妈呀对不起啊我又说了好几句。,"1,2","1,0,0,1,1,1,1,1",1,213
下午的时候去的，环境真是。。。 偌大的一个店里居然没有空调，服务员还骗我们说有。。。 后来指一指一落地小风扇告诉我们那个就是。。。 而且小风扇也不是谁都能吹到，还得好几桌抢着用，热得不行，呼吸完全不顺畅。。。 杏仁都是潮的。。。你要是回去加热好歹也专业点烤一烤，完全难吃 还有鸡翅。。。真舍得放油啊 最后开发票说发票机坏了。。。 特么的再也不会去了。。。,"0,1","0,0,1,1,1,1,1,1",2,177
第一次去 只是路过和朋友随便进去吃点东西?点了菜半天上不来 好不容易上来了菜里有吃出头发郁闷死了，不过部长挺好马上帮我们换了菜 只是已经没什么胃口了,7,"1,1,1,1,1,1,1,0",3,74
"菜单上的菜少得可怜,卤水,牛肉丸等菜单上根本没有.每天有特价菜. 砂锅鱼头(38)蛮不错,要是能再淡一点点就更好了. 豉椒鱼肚,不新鲜,还是偏咸. 牛肉丸挺弹的,卤水(拼鹅翼的话要贵些)类比较失望,且有只苍蝇一直在卤水区飞来停去. 外卖单没有,只有电话,说是打电话来直接点就好... 晚上有烧烤,比别家都要贵.","0,1,7","1,0,1,1,1,1,1,0",3,155
"新开没多久的店,想到以前吃的海鲜汤酥皮馋的不能行了就去了.进门没有人理,自己拉老公找位置坐下,坐了半天依然没有人理会.一直吼说要点单才跑来人.这里生意不是很好啊,人也不是很多,为什么服务生忙得跟要死了一样……要海鲜汤酥皮,服务生一脸迷茫的问我啥叫酥皮……我刚要解释才猛然意识到居然没有这个菜了.翻了翻菜单,咖啡种类很多,吃的比较少,且价位普遍涨了不止两个挡.老公说就要个意面随便吃吃吧,看旁边台点的牛排不怎样...那就要个意面.. 肉酱意面,脆脆骨,只要了这两个. 肉酱意面先上的,看起来卖相不错,开始拌面的时候发现面不够干...水没有沥干净,严重影响口感.且肉酱没有什么味道.淡且无味,连番茄酱味也吃不出,怎会这么红……严重怀疑是不是用了什么廉价调料…… 脆脆骨,大失败!!!就是成品串好的鸡脆骨串油炸的,吃了两口老公就放下了,说吃起来蛮恶心的味道,我尝了下...这个油有问题,并且炸好的肉串也没有洒任何调料就这样端上来. 唉唉...没有要咖啡,估计这种地方的咖啡也不会怎样. 最后总结:一流的价格,二流的环境,三流的服务,四流的口味. 以后应该也不会再去了.性价比太低鸟...吃到老公拉肚子……","0,2,6,7","1,1,1,1,1,1,1,0",3,499
昨天表弟的婚宴在那里请的。。。 菜式很一般，味道一般，明虾和螃蟹不新鲜都不敢给宝贝吃。扇贝还好，但是没入味，宝贝的嘴很挑，不要吃，只吃了最后的蛋挞。。。。。 老鸭汤说好听一点就是清爽，难听一点就是不知道熬了几遍，连里面的鸭汤味道都没了。。。。。。,"0,1","1,0,1,1,1,1,1,1",1,123
为什么那么多人给好评？ 我去过一次真心觉得很一般。 朋友想吃所以去的，为了不等位还特地5点钟就去了，被要求只能吃2个小时，还要和人家拼桌。 东西都这个价格了不新鲜人家还不砸场子呀，不过没有让我觉得很激动的好吃。 服务员态度非常差， 我要求打包带回去给老公吃的寿司等了无比久 。 以后不会主动去的反正,"0,1,3","1,0,1,1,1,1,1,1",1,149
第一次的感觉如下： 1、老板娘热情的——“我就像那冬天里的一把火”，乖乖，她会很体贴地问你：“怎么那么晚吃午饭，肚子要饿坏了”；你吃完后，她又会问：“拌饭辣不辣”。 2、这里韩国留学生暴多！！！我去的时候碰到不少韩国青年在噶三胡，嘿嘿。 3、所有价格后面加个“万”，所以今天我老妈问我吃个牛肉拌饭要多少米？我就很牛地回答——20万~~~~哈~~,"1,3","1,0,1,1,1,1,1,1",1,172
来这家吃过四五次饭了?面确实好吃 元旦这天带朋友过来?点菜的时候服务员就有点二? 说话好难听?吃了一会 有一道菜有头发? 叫经理?说这道菜给我们按八折? 真是可笑??其中那个之前点菜时的服务员?滴滴咕咕的 说这说那? 这次我们算是领教了? 再不会来了。。。,"0,7","1,1,1,1,1,1,1,0",3,128
不好不好，九月份买了一次，不知道是不是天热的关系，一口咬下去就感觉不新鲜，一盒都扔了。唉，还是怀念台湾的丸子类小吃啊。。。,1,"1,1,1,1,1,1,1,1",0,61
有多么难吃就能多么难吃.. 酸菜锅..什么了个东西哦 青玉很不新鲜的感觉 不喜欢绝对不喜欢 牛肉羊肉也不新鲜感觉又点味道 啤酒.假的一刚 喝上就上头!!,"0,1","0,1,1,1,1,1,1,1",2,76
附近没什么好吃的，感觉这个连锁的可能干净点吧  中午人多的时候很忙，服务员都忙不过来 菜的口味一般般，面条不好吃不入味，原来5.8的鸡骨酱面加一块素鸡涨到了8块，有次素鸡发霉了！！！恶心 还可以的估计就排骨年糕了，排骨挺大的,"0,1,2,6","1,0,1,1,1,1,1,1",3,112
点了两碗拉面 还有寿司 一份油炸的鸡肉 觉得拉面的汤汁比较好喝 面没什么特别的 里面的肉感觉也不怎么好吃 炸的鸡肉觉得不新鲜 寿司是三文鱼的 可能是不太喜欢吃生的东西  觉得味道怪怪的 很难再去下一次了、、、,"0,1","1,1,1,1,1,1,1,1",0,104
其余的不说，成都人是挑剔味道的，那平庸的味道，连普通的苍蝇小馆子的味道都赶不上，是提倡健康，不用啥潲水油，但味道呢，简直比我自己做的都不如，毫无特色，看起到是小蝶小盘卖相还可以，也就只能看了，觉得性价比太低了，连斜对面的一碗面都敢不上，2荤1素吃了68，但却没有吃饱，因为不能勉强吃自己不喜欢的食物，对味道注重的朋友，我建议千万不要去，实在走到那了，移哈你的玉步隔10米旁边有家一点味，20元以内一个人可以吃饱吃好，而且觉得物有所值口感适中，并且不会因为食物影响你一天的好心情！！！最后说句小炒肉就是豆腐干片片加点青椒的回锅肉，肉扁的不干，吃起不香，分量很少，而且是随便哪家都可以炒出他家那的味道的一道菜，吃了失望至极，估计分量也只够一位男士的，总的说被烧卷了！！！,7,"1,1,1,1,1,1,1,0",3,333
和朋友去那里吃的晚饭，生意的确是不错，可服务实在太差，服务员像个没头苍蝇一样的到处乱晃。上菜速度爆慢，等我们吃完了，三杯鸡和葱油饼也没上。催了三次后提出退掉，竟然菜上来了！在执意要退后，服务员嘟囔了一句“这个菜我自己买单了要”貌似是说给我们听得。 菜的味道一般，不明白为什么人这么多，难道就是因为便宜吗？,"0,4,5,7","1,1,1,1,0,1,1,0",3,152
上次吃的招牌菜，剁椒鱼头，鱼不新鲜，有股味儿。点了鳝鱼也是同样。不爽，不过大堂经理还是免了鱼的钱，那时候刚刚新开展，可能菜品处理上有些问题也是正常的，不过坏了兴致，没有再去吃过...,1,"1,0,1,1,1,1,1,1",1,91
大学时一直是傣妹的粉，陪伴着度过了四年。一直以为北京没有的，晚上一查居然有！那个兴奋！赶紧去吃，很失望！沙茶没有了，花生酱像快坏了，芝芝麻酱还行，菜不是很新鲜，感觉不好，不然在南方吃的好，哎，也许在北京没人认可吧，大家还是喜欢去呷哺，其实傣妹更实惠啊！但是就是衣服会很有味道！如果傣妹像南方一样就好了，北京这家感觉一般，很一般，不过菜，酱什么的都比南方便宜。希望傣妹更快的打开北方的市场！,"1,4,5","1,1,1,1,1,1,1,1",0,194
"服务态度极差,就是一无赖,饭菜里面有头发和指甲,超恶心,千万别去,老板和服务员全是无赖,结帐时多算钱,去了就上当受骗",7,"1,1,1,1,1,1,1,0",3,58
我晕。居然这么多人说好吃。 你们有没有真正去吃过啊，盖浇饭那浇头比小摊贩的都要少。 今晚去点了个黑椒牛柳盖浇饭，那牛柳就6，7根。。。 我看着点了盖浇饭的消费者们拿起调羹拌饭吃。。。我就无限的伤感。 怎么说永和大王也有了 永和 2个字。。 太差劲了。半个蛋，包菜丝丝。加上所谓的浇头 他家的盖浇饭千万不要吃，谁吃谁后悔。、 另外河西中影那一块还没有开发起来，家乐福旁边就这一家吃的。。。所以- -将近吧，下次再也不去了。 另外 这个店没有空调??苍蝇比较多??很热??就这样 今天吃的一肚子火,"0,7","1,1,1,1,1,1,1,0",3,246
